strength_config,regime,top8_title_share,ladder,teams_per_drafter,policy,n_eval_tournaments,n_draws,spearman_mean,spearman_sd,spearman_cluster_se,spearman_undefined_frac,skill_variance_share,sigma2_between,sigma2_within,top_tie_rate,top_tie_rate_cluster_se,winning_score_mean,winning_score_sd,winning_score_p05,winning_score_p95,slot_win_prob_spread,slot_win_prob_spread_cluster_se,slot_imbalance_index,champion_undrafted_rate,p_champion_holder_wins,br_slot,slot1_win_prob,slot2_win_prob,slot3_win_prob,slot4_win_prob,slot5_win_prob,slot6_win_prob
elo_2026,resampled,0.9130799999999999,linear,4,ev_greedy,50000,25,0.170844671983216,0.4372318906117971,0.010084919345167278,6e-05,0.03727675969573497,0.23054155527777775,5.954050591666668,0.19848,0.002248051007724988,11.76764,1.4629726007003685,10.0,14.0,0.133552,0.007069993515896235,0.080353613132,0.00098,0.536528130901617,-1,0.25648,0.19035433333333335,0.17202699999999996,0.12988533333333332,0.122928,0.12832533333333332
elo_2026,resampled,0.9130799999999999,linear,4,variance,50000,25,0.24924392309831606,0.4252490475883791,0.015530964032492845,2e-05,0.08078555508741327,0.5217652449999999,5.936880046666667,0.1916,0.0021794494717703367,11.77908,1.4897900367501453,10.0,14.0,0.103034,0.011092470069826648,0.06470505965866667,0.0011,0.5312653919311242,-1,0.20820366666666668,0.21298033333333333,0.20322766666666667,0.138692,0.10994633333333333,0.12695
elo_2026,resampled,0.9130799999999999,linear,5,ev_greedy,50000,25,0.18964818230082148,0.4345500024528023,0.010125185072222046,2e-05,0.04594598818009437,0.3155207652777779,6.551689578333333,0.18588,0.0022913387644199036,12.8911,1.5466482437839575,11.0,16.0,0.14828799999999998,0.006813043527756966,0.09930848435599998,0.00026,0.5198861704043051,-1,0.26650366666666664,0.19372533333333336,0.17137866666666668,0.12859533333333334,0.11821566666666666,0.12158133333333333
elo_2026,resampled,0.9130799999999999,linear,5,variance,50000,25,0.2536438644936445,0.4227350900076357,0.01348291034824436,2e-05,0.08242493968663288,0.5870754305555554,6.535470643333333,0.1877,0.0027646579052991943,12.88618,1.574314138791874,11.0,16.0,0.098842,0.009444064470460917,0.067437401472,0.00024,0.5097219999466539,-1,0.21158,0.21064866666666668,0.20548066666666664,0.13847466666666666,0.11273799999999999,0.12107799999999999
elo_2026,resampled,0.9130799999999999,linear,6,ev_greedy,50000,25,0.16418082731790834,0.43714532177727766,0.00981100851623163,0.0,0.03585347222744887,0.26149664333333345,7.03198505,0.18284,0.0014334457320270863,13.68964,1.5927952380642028,11.0,17.0,0.12851766666666664,0.0068403079263859,0.07351715976799995,4e-05,0.49887662173153596,-1,0.2528316666666666,0.18897099999999997,0.17143766666666663,0.13220466666666666,0.12431399999999998,0.130241
elo_2026,resampled,0.9130799999999999,linear,6,variance,50000,25,0.24199791339211435,0.4242785487525599,0.012192009984774908,4e-05,0.07503259889581683,0.5664897355555556,6.983425153333334,0.18164,0.0020288584639315444,13.70596,1.6205247540225975,11.0,17.0,0.08780733333333336,0.008914716791995216,0.050118017161333336,4e-05,0.48924756990279616,-1,0.20521133333333336,0.203561,0.20135299999999995,0.139702,0.117404,0.13276866666666665
elo_2026,resampled,0.9130799999999999,linear,8,ev_greedy,50000,25,0.15148290186251157,0.43853543653162974,0.009498225037467865,0.0,0.03176791012243694,0.24718782000000009,7.533866049999999,0.17758,0.001993673326634364,14.52228,1.637578578755841,12.0,18.0,0.11835766666666667,0.006292756945268284,0.06196441788933332,0.0,0.4792026666666666,-1,0.24606,0.18677633333333332,0.17069933333333331,0.13487733333333335,0.12770233333333333,0.13388466666666668
elo_2026,resampled,0.9130799999999999,linear,8,variance,50000,25,0.23195671975877624,0.42485783726466714,0.012279704795765374,0.0,0.0712607840502239,0.5732733166666667,7.471450360000001,0.17366,0.001626786197794083,14.57916,1.665188786414321,12.0,18.0,0.08722933333333334,0.009339538234084484,0.04652606931466668,0.0,0.4739960000000001,-1,0.20633033333333334,0.19948866666666665,0.20009033333333334,0.14082866666666669,0.119101,0.13416099999999997
elo_2026,resampled,0.9130799999999999,triangular,4,ev_greedy,50000,25,0.22344804621979175,0.42924083733013035,0.01219385730833321,0.0,0.0641612232283602,4.564716971944446,66.57976473000001,0.04628,0.0009725739046468398,30.28118,4.8704699781027285,24.0,40.0,0.23453000000000007,0.0069248654887324014,0.24967584613333346,0.00088,0.7928376971735127,-1,0.3291233333333334,0.20671333333333333,0.16573666666666664,0.10617,0.09459333333333332,0.09766333333333332
elo_2026,resampled,0.9130799999999999,triangular,4,variance,50000,25,0.22711132744091192,0.43510048069335033,0.011810248682550265,0.0,0.06430392102050342,4.593478963888889,66.84040704166667,0.0445,0.0010583005244258364,30.28478,4.899297944767189,24.0,40.0,0.2232,0.008999829628017039,0.22938112266666674,0.0009,0.7855703466453142,-1,0.31752,0.21492666666666665,0.16562666666666664,0.10549333333333333,0.09432,0.10211333333333332
